base_price,discounted_price,product_name,category,brand,description
"5,10","3,82",Chocolat blanc Cranberries sans gluten - 100g,sans-gluten,par Ikalia,"Prix au kilo : 38,25€/kgDégustez un chocolat blanc qui vaut vraiment le coup. Fini les ""galak"" aux additifs, avec Ikalia, vous avez l'assurance de déguster un chocolat blanc bio de qualité issu du commerce équitable, sublimé par la canneberge aciduléeIngrédients : chocolat blanc* 95% : sucre de canne roux* 45%, beurre "
"2,45","1,78",Gomme de Guar - 60g,sans-gluten,par Ma Vie Sans Gluten,"Prix au kilo : 29,67€/kgGomme de Guar: Un Epaississant à froid et à chaud, garanti sans gluten! Idéal pour vos coulis de fruits, bouillon de légumes, et autres sauces trop liquides! 60gIngrédients : Gomme de guar issue de l’agriculture biologique Valeurs nutritionelles ajoutées très bientôt"
"2,89","2,08",Spaghetti Maïs et Riz - 500g,sans-gluten,par Ma Vie Sans Gluten,"Prix au kilo : 4,17€/kg Des spaghetti à base de farine de mais et de riz avec une texture légère et savoureuse qui vous permettra de ravir la famille sans une once de gluten. Andiamo ! Attention, la cuisson des pâtes sans gluten est parfois délicate. Surtout ne remuez pas trop vos pâtes et respectez bien le temps indiq"
"2,39","1,87",Corn Flakes Glacés sans Gluten - 250g,sans-gluten,par Ma Vie Sans Gluten,"Prix au kilo : 7,52€/kgCéréales Corn Flakes Glacés SANS GLUTEN pour le petit déjeuner - Origine UE - Sachet de 250 g.Ingrédients : Maïs , sucre de canne roux , sel, amidon de maïs , stabilisant (gomme arabique), émulsifiant (lécithine de tournesol) Valeurs nutritionnelles (pour 100g) : Energie (kJ/Kcal) 1574/371 ; Mati"
"3,50","2,53",Petits pots Légumes Veau Fermier 8 mois - 2x200g,sans-gluten,par Babybio,"Prix au kilo : 6,33€/kgPetits pots Menu Légumes Veau Fermier. Pour l’éveil de Bébé aux saveurs naturelles, les ingrédients de tous les petits pots Babybio sont sélectionnés avec soin. Dès 8 mois. Contenance : 2x200g.Ingrédients : Légumes 78,5% (pommes de terre du Val de Loire 29,5%, carottes des Landes 26%, tomates de "
"3,45","2,39",Pain au sésame sans gluten - 250g,sans-gluten,par Schnitzer,"Prix au kilo : 9,56€/kgUn succulent pain sans gluten au sésame. Il est légèrement croquant en bouche et a un goût prononcé de noix. Il contient du sésame complet, particulièrement bénéfique, et est riche en calcium, en magnésium et en fibres. Il ne contient pas de gluten ni de lactose.Ingrédients : Levain naturel de sa"
"2,40","1,75",Thym en Feuilles - 15g,sans-gluten,par Cook,"Prix au kilo : 116,67€/kgLe Thym avec sa saveur légèrement piquante est un aromate indispensable en cuisine. Il est très utilisé en particulier dans la cuisine provençale où il donne une touche méditerranéenne. Cuisine provençcale, bouquet garni, sauces, farces...Ingrédients : Feuilles de thym issues de l'Agriculture B"
"2,60","2,09",Flocons d'avoine sans gluten - 500g,sans-gluten,par Grillon d'or,"Prix au kilo : 4,18€/kg Pour ceux qui veulent des céréales au petit déjeuner mais quand même éviter le gluten, ces flocons d'avoine sont faits pour vous ! Certifié bio et sans gluten, issu de l'agriculture biologique, naturellement riche en fibres et protéines. Sachet de 500gIngrédients : AvoineValeurs nutritionnelles "
"3,19","2,40",Bols Menu Haricots Verts Panais Et Blé (dès 12 mois) - 2x200g,sans-gluten,par Babybio,"Prix au kilo : 6€/kg2 bols ""Menu du soir"" Cassolette de Légumes Verts Blé, pour les enfants de 12 mois et +. 2 x 200 g.Ingrédients : Légumes 60% (haricots verts du Val de Loire 16%, panais du Val de Loire 15%, brocolis de Bretagne 12%, petits pois d'Espagne 12%, oignons d'Espagne ), eau de cuisson, blé d'Italie 7%, hui"
"2,99","2,14",Amarante - 500g,sans-gluten,par Priméal,"Prix au kilo : 4,28€/kgCéréales grains d'Amarante Bio - Sachet de 500 grammes.Ingrédients : AmaranteValeurs nutritionnelles (pour 100g) : Energie (kJ/Kcal) 1540/365 ; Matières grasses : 8,8g ; Glucides : 56,8g ; Protéines : 14,6g ;"
"4,49","3,24",Préparation pour pain bio au Sarrasin - 500g,sans-gluten,par Ma Vie Sans Gluten,"Prix au kilo : 6,5€/kgPréparation SANS GLUTEN pour pain bio au sarrasin - Origine France - Sachet de 500 g.Ingrédients : Farine de riz ½ complet , farine de sarrasin (26%), fécule de maïs , gomme de guar , sel marin Valeurs nutritionnelles (pour 100g) : Energie (kJ/Kcal) 1462/344 ; Matières grasses : 1,3g ; Glucides : "
"3,09","2,46",Menu Maïs doux et Poulet fermier (dès 8 mois) - 2x200g,sans-gluten,par Babybio,"Prix au kilo : 6,15€/kgPour l’éveil de Bébé aux saveurs naturelles, les ingrédients de tous les petits pots Babybio sont sélectionnés avec soin. Dès 8 mois. Contenance : 2x200g.Composition : Légumes* 76% (maïs doux d'Aquitaine* 36%, carottes des Landes* 28%, pommes de terre du Val de-Loire* 7%, oignons d'Espagne* 5%), "
"5,10","3,82",Chocolat au Lait à la fleur de sel de Guérande sans gluten - 100g,sans-gluten,par Ikalia,"Prix au kilo : 38,25€/kg Avec 70% de cacao bio, sans huile de palme, sans lécithine, le chocolat Ikalia à la Fleur de Sel allie engagement et saveur. Le cacao de qualité supérieure, issu du commerce équitable allié à une pointe de sel de Guérande bio donne à ce chocolat une note équilibrée. Le carton est 100% recyclabl"
